iteracion	y(m)	A(m2)	P(m)	R(m)	v(m/s)	E(m)	Sfi	Sfm	So-Sfm	deltaE(m)	deltaX(m)	x(m)	Fondo(m)	Altura(m)	yc(m)	yn(m)
0.0	1.0	8.5	10.97213595499958	0.7746896351687	3.176470588235294	1.5142693882733882	0.0027795559536715575	0	0	0	0	0	0.0	1.0	1.0744149248710049	0.5698232096886631
1.0	1.02	8.710799999999999	11.061578674099572	0.7874825336094327	3.09960049593608	1.509680083303119	0.0025894822687471696	0.0026845191112093636	0.017315480888790636	-0.004589304970269215	-0.26504057263810393	-0.26504057263810393	0.005300811452762079	1.0253008114527622	1.079715736323767	0.5751240211414251
2.0	1.04	8.9232	11.151021393199564	0.8002136921234679	3.0258203335126415	1.5066457028898346	0.0024154666253720074	0.0025024744470595883	0.017497525552940412	-0.00303438041328441	-0.17341768720974896	-0.4384582598478529	0.008769165196957059	1.048769165196957	1.083184090067962	0.5785923748856201
3.0	1.06	9.1372	11.240464112299556	0.8128845845432557	2.954953377402268	1.5050432957503093	0.002255894682481797	0.002335680653926902	0.0176643193460731	-0.0016024071395253081	-0.09071434387770703	-0.52917260372556	0.0105834520745112	1.0705834520745112	1.084998376945516	0.5804066617631742
4.0	1.08	9.3528	11.329906831399544	0.8254966381612056	2.886836027713626	1.5047615826149534	0.002109339859331994	0.0021826172709068954	0.017817382729093105	-0.0002817131353558544	-0.015811140145508534	-0.5449837438710685	0.01089967487742137	1.0908996748774213	1.0853145997484261	0.5807228845660845
5.0	1.1	9.57	11.419349550499536	0.838051235552323	2.8213166144200628	1.5056996655862736	0.0019745386078519494	0.0020419392335919717	0.01795806076640803	0.0009380829713201422	0.05223743162039526	-0.4927463122506733	0.009854926245013466	1.1098549262450135	1.0842698511160183	0.5796781359336766
6.0	1.12	9.788800000000002	11.508792269599528	0.8505497163118596	2.7582543314808756	1.5077658999558112	0.0018503693113490847	0.001912453959600517	0.018087546040399482	0.0020662343695376784	0.11423519613565243	-0.37851111611502086	0.007570222322300418	1.1275702223223005	1.0819851471933053	0.5773934320109635
7.0	1.1400000000000001	10.009200000000002	11.59823498869952	0.8629933787125577	2.6975182831794746	1.5108769056109859	0.0017358342251685066	0.0017931017682587956	0.018206898231741205	0.003111005655174637	0.17086961302123552	-0.20764150309378535	0.004152830061875707	1.1441528300618757	1.0785677549328805	0.5739760397505388
8.0	1.1600000000000001	10.231200000000001	11.687677707799512	0.8753834812858021	2.638986629134412	1.5149566987130587	0.0016300439772998743	0.0016829391012341904	0.01831706089876581	0.004079793102072848	0.22273186318596241	0.015090360092177069	-0.00030180720184354136	1.1596981927981567	1.0741131176691614	0.5695214024868195
9.0	1.1800000000000002	10.4548	11.777120426899504	0.8877212443307227	2.5825458162757773	1.5199359272764283	0.0015322042299785073	0.0015811241036391907	0.01841887589636081	0.004979228563369631	0.2703329232134858	0.28542328330566286	-0.005708465666113257	1.1742915343338869	1.0687064592048916	0.5641147440225498
10.0	1.2000000000000002	10.68	11.866563145999496	0.9000078513550476	2.5280898876404496	1.525751196737508	0.0014416041709561756	0.0014869042004673413	0.01851309579953266	0.005815269461079575	0.31411653264530587	0.5995398159509687	-0.011990796319019375	1.1880092036809808	1.0624241285519855	0.5578324133696437
11.0	1.2200000000000002	10.906800000000002	11.956005865099485	0.9122444504512836	2.4755198591704253	1.5323444736568381	0.0013576065583849855	0.0013996053646705806	0.01860039463532942	0.006593276919330204	0.3544697329596972	0.9540095489106659	-0.01908019097821332	1.200919809021787	1.0553347338927916	0.5507430187104497
12.0	1.2400000000000002	11.135200000000001	12.045448584199477	0.924432155611582	2.424743156835979	1.539662557422167	0.0012796390885831926	0.001318622823484089	0.018681377176515912	0.007318083765328831	0.3917314926079587	1.3457410415186246	-0.026914820830372492	1.2130851791696278	1.0475001040406324	0.5429083888582906
13.0	1.2600000000000002	11.365200000000002	12.134891303299469	0.9365720479844605	2.375673107380424	1.547656611270671	0.0012071868932495324	0.0012434129909163626	0.01875658700908364	0.007994053848503935	0.42619981154527153	1.7719408530638963	-0.035438817061277925	1.2245611829387224	1.038976107809727	0.5343843926273851
14.0	1.2800000000000002	11.596800000000004	12.22433402239946	0.9486651770763475	2.328228476821191	1.5562817451723308	0.0011397860034853364	0.0011734864483674344	0.018826513551632566	0.008625133901659865	0.4581376088570539	2.23007846192095	-0.04460156923841901	1.2353984307615813	1.029813355632586	0.5252216404502441
15.0	1.3000000000000003	11.83	12.313776741499453	0.9607125619007656	2.2823330515638207	1.5654966441519178	0.00107701764348629	0.0011084018234858131	0.018891598176514188	0.00921489897958705	0.4877776296895253	2.7178560916104755	-0.05435712183220951	1.2456428781677908	1.0200578030387955	0.5154660878564535
16.0	1.3200000000000003	12.064800000000002	12.403219460599445	0.9727151920777924	2.2379152576089116	1.5752632365055437	0.0010185032379519557	0.0010477604407191229	0.018952239559280878	0.00976659235362587	0.5153265566888208	3.2331826482992962	-0.06466365296598593	1.2553363470340144	1.009751271905019	0.5051595567226771
17.0	1.3400000000000003	12.301200000000003	12.492662179699437	0.9846740288862882	2.1949078138718168	1.5855463971149626	0.000963900034913873	0.0009912016364329143	0.019008798363567087	0.010283160609418918	0.5409684722169485	3.774151120516245	-0.0754830224103249	1.2645169775896754	0.99893190246068	0.4943401872783382
